aX,aY,aZ,gX,gY,gZ
0.050,-0.083,0.956,-0.427,-0.854,-0.305
0.043,-0.068,0.977,-1.404,-2.075,-0.549
0.053,-0.075,0.976,-0.244,-1.160,-0.427
0.061,-0.078,0.973,0.122,-0.549,-0.305
0.055,-0.072,0.986,-0.854,-1.587,-0.366
0.057,-0.072,0.985,-0.854,-1.465,-0.244
0.413,0.056,2.397,-38.452,-1.953,28.076
0.468,0.105,2.490,-21.667,24.292,23.132
0.392,0.117,2.513,-4.883,49.683,16.235
0.363,0.076,2.447,7.324,68.237,9.399
0.313,0.087,2.384,10.437,79.529,1.160
0.268,0.066,2.282,8.240,89.355,-6.653
0.222,0.042,2.200,1.038,98.267,-9.766
0.194,0.034,2.188,-13.062,107.483,-6.042
0.222,0.022,2.211,-33.081,116.272,0.916
0.230,-0.025,2.229,-53.162,123.657,6.714
0.256,-0.094,2.181,-68.848,132.080,8.301
0.237,-0.160,2.066,-77.820,141.235,5.493
0.191,-0.303,1.845,-77.271,150.818,1.587
0.091,-0.440,1.660,-73.120,159.546,-2.075
0.045,-0.442,1.345,-65.369,173.279,-4.089
-0.023,-0.447,1.092,-56.396,193.970,-0.549
-0.151,-0.418,0.810,-44.373,186.523,-3.540
-0.278,-0.333,0.550,-33.875,162.781,-5.676
-0.257,-0.227,0.425,-28.687,140.076,0.732
-0.195,-0.186,0.320,-24.841,115.295,9.644
-0.146,-0.188,0.215,-22.095,87.219,12.817
-0.095,-0.173,0.083,-17.456,70.129,9.399
-0.098,-0.112,-0.101,-7.996,64.270,0.793
-0.207,-0.030,-0.371,5.005,59.937,-5.981
-0.365,0.068,-0.694,14.771,52.124,-12.146
-0.466,0.155,-0.948,16.968,38.391,-18.738
-0.472,0.219,-1.068,13.000,15.869,-20.081
-0.419,0.223,-1.089,6.775,-10.620,-18.738
-0.321,0.206,-1.056,-3.113,-35.400,-16.479
-0.227,0.197,-1.002,-16.235,-55.603,-11.169
-0.182,0.173,-0.945,-28.503,-71.045,-3.357
-0.189,0.134,-0.900,-42.297,-82.336,6.775
-0.196,0.088,-0.869,-60.547,-92.834,13.855
-0.221,0.020,-0.908,-79.468,-92.346,19.043
-0.316,-0.061,-0.946,-92.285,-92.041,29.785
-0.425,-0.150,-0.987,-92.651,-96.680,37.109
-0.480,-0.209,-0.988,-82.642,-108.459,36.072
-0.489,-0.325,-0.945,-63.171,-126.038,29.846
-0.455,-0.424,-0.846,-38.269,-144.897,22.949
-0.360,-0.462,-0.684,-9.644,-159.241,19.287
-0.331,-0.457,-0.511,23.254,-166.382,17.578
-0.341,-0.441,-0.362,57.068,-167.603,16.357
-0.345,-0.318,-0.197,87.708,-167.908,13.489
-0.396,-0.127,-0.000,112.854,-169.617,7.019
-0.429,0.034,0.207,129.639,-170.715,0.916
-0.359,0.174,0.482,132.568,-170.349,-2.197
-0.259,0.329,0.804,121.277,-164.124,-0.793
-0.185,0.319,1.076,106.689,-141.602,6.165
-0.159,0.263,1.334,93.506,-108.582,13.611
-0.105,0.168,1.601,79.285,-83.313,20.264
-0.079,0.140,1.877,66.467,-67.932,25.574
-0.034,0.071,2.077,63.599,-58.594,25.208
0.025,-0.033,2.179,67.017,-51.880,20.142
0.170,-0.140,2.204,67.322,-41.870,19.287
0.286,-0.135,2.225,63.721,-25.330,22.095
0.360,-0.116,2.223,67.566,-2.319,21.606
0.368,-0.097,2.143,81.299,23.926,11.047
0.287,-0.031,1.941,96.619,45.532,-8.484
0.069,-0.133,1.645,112.793,51.270,-29.968
0.093,0.115,1.667,123.840,43.823,-60.181
-0.064,0.045,1.206,130.920,-21.667,-36.743
-0.293,-0.256,0.690,107.361,-41.321,-2.930
0.029,-0.024,1.206,41.931,-7.507,-14.832
0.109,-0.052,1.479,9.460,-40.222,-1.892
-0.021,-0.150,1.376,-1.160,-70.251,6.348
-0.197,0.023,3.357,-9.888,-66.650,4.761
0.166,-0.542,0.772,16.541,-41.382,-1.465
-0.464,0.043,1.820,-82.947,-40.344,-10.864
-0.153,-0.161,1.468,-80.383,-2.380,-5.859
-0.097,-0.187,1.572,-62.927,11.108,-2.014
0.023,-0.150,1.779,-45.898,-8.057,2.075
0.008,-0.205,1.664,-17.761,-26.917,-1.770
-0.018,-0.216,1.508,2.014,-36.987,-2.808
0.004,-0.182,1.482,6.836,-26.978,-3.235
0.061,-0.191,1.455,6.714,-11.719,-10.803
0.077,-0.124,1.448,8.362,-10.376,-22.034
-0.036,-0.027,1.481,9.216,-15.076,-23.499
-0.071,-0.053,1.419,12.268,-10.925,-18.616
-0.071,-0.111,1.343,15.259,-0.305,-13.245
-0.047,-0.129,1.261,13.306,5.920,-9.155
-0.064,-0.157,1.182,8.850,7.751,-4.028
-0.045,-0.131,1.159,3.113,16.663,-0.366
-0.041,-0.129,1.219,-2.502,25.330,5.371
0.005,-0.223,0.901,0.488,37.537,9.644
-0.113,-0.208,0.935,-6.897,37.476,10.925
-0.134,-0.189,0.869,-7.629,39.307,17.090
-0.112,-0.205,0.891,-2.930,31.311,21.851
-0.091,-0.183,0.918,-1.221,23.254,22.034
-0.036,-0.231,0.951,-0.732,16.907,19.897
-0.013,-0.193,1.028,-3.906,10.254,14.771
-0.045,-0.137,1.079,-2.869,6.592,10.437
0.008,-0.147,1.062,4.517,6.104,9.583
0.084,-0.137,1.090,12.878,6.714,10.498
0.073,-0.146,1.116,22.766,7.385,11.047
0.014,-0.168,1.041,34.119,10.437,12.329
-0.036,-0.218,0.927,41.809,14.771,14.526
-0.136,-0.168,0.947,40.588,21.240,16.357
-0.036,-0.081,0.957,38.208,28.503,18.188
-0.015,-0.115,0.943,47.241,30.762,18.372
-0.054,-0.158,0.943,58.899,28.442,16.235
-0.108,-0.181,1.012,70.679,29.541,10.254
-0.005,-0.179,1.030,82.092,32.104,3.723
0.146,-0.157,0.993,92.041,32.532,-2.441
0.102,-0.132,1.036,97.229,29.480,-6.104
0.073,-0.169,1.021,104.004,20.508,-0.244
0.065,-0.296,0.971,114.746,3.906,13.000
0.133,-0.362,0.897,118.347,-13.123,23.071
0.078,-0.411,0.861,108.948,-24.292,25.024
-0.027,-0.527,0.867,87.524,-32.593,20.630
0.082,-0.483,0.914,59.326,-49.561,14.099
0.079,-0.305,0.941,26.550,-87.830,-0.732
0.229,-0.264,0.955,12.878,-126.831,-10.498
0.015,-0.237,0.802,24.231,-141.724,-17.334
-0.255,-0.344,0.794,45.532,-129.272,-18.555
-0.230,-0.455,0.794,68.481,-102.051,-19.043
-0.285,-0.328,0.870,81.116,-77.393,-27.893
-0.125,-0.308,0.922,85.999,-59.021,-35.339
-0.101,-0.388,0.992,80.017,-42.297,-36.560
0.019,-0.402,0.803,63.416,-30.090,-40.222
0.062,-0.873,1.969,21.423,-4.944,-17.456
0.082,-0.929,2.105,16.479,-1.648,-14.038
0.065,-0.935,2.208,11.536,4.761,-7.446
0.022,-0.926,2.262,3.906,15.869,-0.671
0.008,-0.909,2.343,-10.193,26.794,2.380
-0.001,-0.879,2.399,-29.053,33.691,1.038
0.014,-0.912,2.361,-49.866,42.847,1.038
0.032,-0.948,2.296,-68.115,58.167,3.906
0.063,-0.990,2.204,-81.543,73.853,8.667
0.048,-0.996,2.098,-91.919,87.036,15.747
0.003,-0.992,1.981,-98.572,100.464,24.780
-0.030,-0.952,1.812,-102.783,113.464,31.860
-0.162,-0.906,1.638,-105.774,126.709,36.621
-0.154,-0.868,1.490,-106.628,149.658,37.720
-0.207,-0.896,1.323,-114.075,146.912,37.964
-0.231,-0.921,1.201,-125.122,134.888,44.373
-0.230,-0.952,1.065,-134.094,133.179,43.335
-0.268,-0.967,0.910,-139.893,134.033,43.152
-0.281,-0.949,0.747,-140.808,135.010,41.748
-0.296,-0.939,0.559,-134.888,137.512,39.001
-0.322,-0.957,0.371,-125.488,139.160,38.818
-0.338,-0.923,0.204,-118.347,135.803,40.588
