aX,aY,aZ,gX,gY,gZ
1.228,-1.117,0.472,651.611,455.505,-46.875
-0.400,0.426,-2.955,878.479,497.986,-76.233
-0.398,1.490,0.184,377.075,359.314,-58.167
0.137,0.351,-0.459,317.383,167.480,-48.523
0.478,-0.052,-0.061,432.312,-7.690,-28.503
0.821,-0.594,-0.458,379.822,-80.322,-30.151
0.524,0.234,-0.521,301.514,-66.833,-7.935
0.691,0.362,-0.626,275.940,-5.493,-13.000
0.610,0.034,-0.689,239.807,70.496,6.226
0.286,0.116,-0.689,182.434,124.695,29.114
0.168,0.042,-0.746,163.269,165.649,36.011
0.196,0.030,-0.778,169.678,188.965,33.630
0.299,0.108,-0.716,174.438,202.881,28.870
0.517,0.080,-0.762,163.391,207.764,28.625
0.561,0.092,-0.871,154.846,200.500,38.208
0.450,0.170,-0.929,158.752,181.580,50.842
0.620,0.631,-0.461,161.804,155.579,44.128
0.821,0.431,-0.817,170.837,168.457,-19.714
0.667,-0.285,-0.811,130.432,165.955,-88.135
0.479,-0.711,-0.750,84.961,127.502,-113.831
0.184,-0.773,-0.697,72.205,70.496,-88.501
-0.034,-0.495,-0.686,56.885,18.005,-36.987
-0.029,-0.175,-0.716,35.583,-10.254,7.141
0.076,0.037,-0.781,34.485,-11.353,36.865
0.181,0.319,-0.922,41.138,7.629,57.007
0.386,0.991,-1.081,18.188,40.100,63.171
0.370,0.153,-0.920,5.981,75.439,56.396
0.344,0.093,-1.237,25.879,104.248,59.021
0.397,0.245,-1.203,32.227,98.816,66.589
0.289,0.259,-1.135,31.006,72.205,60.181
0.258,0.285,-1.167,29.663,49.744,55.481
0.247,0.300,-1.408,37.292,33.447,50.537
0.286,0.290,-1.098,60.852,7.324,42.053
0.261,0.491,-0.635,74.768,-4.639,31.433
0.411,0.285,-1.001,78.674,41.565,17.883
0.470,0.195,-1.101,53.711,70.007,16.663
0.404,0.198,-1.250,22.278,48.157,17.334
0.347,0.229,-1.477,9.644,20.447,18.555
0.315,0.284,-1.538,18.433,22.766,18.616
0.254,0.254,-1.487,32.959,40.161,19.043
0.238,0.204,-1.409,40.039,45.715,17.822
0.258,0.322,-1.227,25.085,27.649,12.451
0.174,0.369,-1.228,3.418,-8.179,10.681
0.059,0.417,-1.182,-3.174,-36.560,8.667
-0.029,0.440,-1.074,3.906,-31.921,4.272
0.064,0.412,-0.919,19.531,-9.094,0.366
0.096,0.406,-0.828,29.053,1.831,-4.333
0.079,0.382,-0.771,30.396,0.549,-7.874
0.127,0.331,-0.724,32.532,4.822,-11.169
0.205,0.314,-0.620,33.386,10.559,-13.611
0.231,0.285,-0.566,28.809,14.465,-13.062
0.267,0.236,-0.549,16.357,16.418,-11.108
0.293,0.229,-0.574,1.648,18.250,-9.033
0.277,0.252,-0.654,-8.911,20.874,-4.700
0.299,0.312,-0.772,-12.695,22.095,-0.183
0.254,0.291,-0.886,-2.136,23.437,8.423
0.278,0.328,-0.906,13.000,25.085,15.869
0.256,0.363,-0.880,14.893,23.560,21.851
0.216,0.378,-0.902,9.583,19.836,26.917
0.202,0.401,-0.929,6.775,19.897,27.893
