aX,aY,aZ,gX,gY,gZ
0.673,0.241,-0.954,75.562,-202.576,-130.676
0.681,-0.191,-0.582,97.229,-219.666,-133.728
0.708,-0.743,-0.119,103.149,-249.878,-136.047
0.590,-1.367,0.514,92.346,-289.978,-133.606
0.696,-2.054,1.293,71.106,-324.768,-118.164
0.786,-2.501,2.035,19.226,-323.914,-85.754
0.767,-2.491,2.474,-61.218,-282.837,-53.406
0.674,-2.145,2.628,-131.226,-239.136,-37.964
0.550,-1.743,2.802,-166.870,-212.036,-31.738
0.239,-1.397,3.045,-161.499,-179.199,-17.761
-0.105,-1.145,3.230,-122.620,-111.816,5.554
-0.316,-0.963,3.124,-71.472,-2.869,38.147
-0.245,-0.851,2.716,-26.733,114.746,66.772
-0.047,-0.778,2.151,-4.456,208.740,88.257
0.127,-0.707,1.614,1.221,265.320,101.379
0.252,-0.619,1.135,3.540,293.945,113.953
0.304,-0.482,0.698,11.597,310.791,132.690
0.325,-0.296,0.305,28.564,323.853,152.527
0.315,-0.055,-0.040,52.307,334.045,167.419
0.294,0.190,-0.352,76.782,337.524,174.744
0.246,0.427,-0.657,93.750,330.383,172.424
0.249,0.649,-1.016,100.098,318.604,165.283
0.388,0.940,-1.452,89.355,299.438,153.931
0.593,1.208,-1.932,59.509,246.887,123.840
0.781,1.401,-2.322,10.742,152.588,71.045
0.857,1.517,-2.482,-43.823,35.583,6.470
0.859,1.463,-2.390,-82.092,-75.867,-53.894
0.798,1.283,-2.066,-89.905,-162.476,-99.915
0.716,1.024,-1.665,-66.589,-210.937,-130.310
0.654,0.706,-1.255,-20.020,-218.628,-148.682
0.658,0.368,-0.869,28.198,-205.933,-151.672
0.649,-0.008,-0.519,57.617,-200.073,-145.874
0.652,-0.450,-0.133,60.120,-220.215,-140.930
0.686,-0.945,0.346,41.870,-254.822,-134.277
0.731,-1.443,0.901,20.020,-285.583,-121.765
0.651,-1.774,1.524,-3.418,-288.574,-97.168
0.618,-1.909,2.031,-34.119,-254.456,-70.435
0.683,-1.854,2.312,-64.575,-204.712,-49.194
0.705,-1.682,2.486,-82.031,-164.185,-34.058
0.554,-1.436,2.685,-83.496,-131.348,-19.592
0.284,-1.210,2.860,-71.655,-87.463,-0.977
0.073,-0.967,2.803,-53.101,-21.179,17.029
0.051,-0.829,2.644,-46.265,47.424,36.865
0.106,-0.785,2.294,-25.024,111.511,53.833
0.171,-0.729,1.852,-6.287,176.819,66.772
0.289,-0.649,1.390,2.625,231.323,83.374
0.383,-0.534,0.970,7.141,261.902,101.685
0.419,-0.372,0.604,14.954,272.888,116.821
0.406,-0.212,0.261,29.724,276.611,127.686
0.404,-0.020,-0.036,46.021,280.823,136.169
0.332,0.191,-0.280,61.401,283.386,140.503
0.311,0.436,-0.528,80.811,289.062,144.836
0.376,0.606,-0.816,107.483,305.298,153.076
0.426,0.732,-1.123,122.559,302.979,150.024
0.512,0.889,-1.472,111.389,270.630,133.057
0.681,1.100,-1.911,73.364,213.074,102.295
0.835,1.292,-2.291,14.038,122.986,54.138
0.908,1.393,-2.434,-43.335,9.705,-5.859
0.915,1.344,-2.294,-77.576,-97.839,-64.453
0.870,1.121,-1.957,-81.604,-174.438,-111.023
0.823,0.837,-1.559,-59.998,-215.515,-139.160
0.786,0.560,-1.194,-30.090,-229.797,-153.198
0.750,0.237,-0.856,-4.456,-234.863,-161.560
0.753,-0.142,-0.506,9.949,-245.789,-166.016
0.742,-0.562,-0.104,8.667,-270.325,-166.321
0.722,-0.969,0.348,-8.301,-302.185,-155.762
0.688,-1.311,0.839,-31.616,-325.928,-136.292
0.669,-1.519,1.311,-54.382,-333.740,-118.042
0.638,-1.590,1.685,-78.491,-319.336,-93.445
0.587,-1.498,2.018,-103.821,-283.630,-69.031
0.455,-1.368,2.462,-118.347,-246.094,-54.199
0.217,-1.256,2.983,-110.413,-200.073,-34.851
-0.026,-1.141,3.327,-81.726,-127.075,-8.606
-0.207,-0.984,3.291,-43.579,-26.001,23.254
-0.184,-0.807,2.882,-13.367,79.102,51.575
-0.051,-0.747,2.370,2.625,162.231,72.327
0.091,-0.718,1.922,13.062,220.154,89.233
0.190,-0.659,1.501,22.217,262.024,107.056
0.233,-0.543,1.085,25.513,290.527,123.169
0.258,-0.410,0.693,21.729,302.246,133.789
0.291,-0.271,0.356,17.517,299.072,137.512
0.285,-0.111,0.096,18.372,287.720,138.611
0.256,0.054,-0.117,27.710,279.724,139.893
0.224,0.239,-0.357,43.640,281.433,140.442
0.252,0.398,-0.641,66.956,296.631,145.447
0.288,0.549,-0.981,91.614,313.965,151.428
0.431,0.744,-1.401,101.135,306.335,150.940
0.575,1.022,-1.867,73.853,266.113,129.700
0.789,1.309,-2.412,21.301,190.369,86.914
0.969,1.515,-2.754,-34.912,77.454,27.039
1.046,1.573,-2.740,-80.566,-48.706,-36.072
0.987,1.442,-2.433,-102.173,-156.372,-91.370
0.913,1.194,-2.014,-95.337,-224.915,-128.967
0.880,0.904,-1.593,-64.392,-250.977,-151.184
0.851,0.610,-1.211,-25.208,-252.930,-162.476
0.822,0.278,-0.852,9.521,-250.610,-167.725
0.814,-0.090,-0.475,32.349,-259.949,-168.091
0.817,-0.502,-0.098,40.466,-276.245,-160.156
0.800,-0.900,0.294,37.170,-294.373,-143.738
0.743,-1.267,0.716,24.475,-311.279,-125.610
0.649,-1.493,1.227,1.648,-328.552,-106.140
0.591,-1.562,1.628,-35.706,-330.750,-86.975
0.470,-1.415,1.986,-76.782,-313.843,-71.838
0.348,-1.259,2.455,-104.736,-286.804,-66.284
0.078,-1.184,3.072,-103.210,-246.094,-51.392
-0.218,-1.149,3.523,-76.538,-169.922,-20.325
-0.395,-1.080,3.541,-36.804,-57.251,15.869
-0.329,-0.940,3.084,-2.380,63.416,46.936
-0.145,-0.835,2.474,11.841,159.668,69.397
-0.012,-0.708,1.977,18.860,223.083,87.708
0.073,-0.575,1.534,26.367,265.808,105.530
0.145,-0.457,1.114,29.175,294.373,122.192
0.208,-0.335,0.746,25.085,306.458,132.507
0.225,-0.220,0.447,19.348,303.711,135.925
0.206,-0.091,0.202,19.653,295.776,135.620
0.171,0.081,-0.007,29.907,291.199,137.512
0.130,0.295,-0.219,48.889,291.687,142.822
0.119,0.515,-0.461,75.928,306.824,149.475
0.132,0.678,-0.697,110.840,336.426,159.058
0.477,1.110,-1.813,98.022,289.612,131.287
0.838,1.323,-2.349,45.837,216.248,84.778
1.166,1.434,-2.702,-13.977,106.995,19.653
1.294,1.369,-2.684,-60.974,-20.874,-43.579
1.182,1.125,-2.341,-79.895,-128.662,-95.276
1.091,0.868,-1.902,-74.890,-191.284,-131.409
1.055,0.615,-1.548,-60.852,-217.651,-153.259
1.058,0.358,-1.222,-46.204,-235.046,-166.626
1.028,0.078,-0.870,-34.241,-257.263,-171.143
0.991,-0.191,-0.507,-25.330,-279.358,-168.091
0.969,-0.432,-0.192,-17.273,-294.861,-157.837
0.914,-0.662,0.126,-13.672,-307.922,-146.606
0.829,-0.873,0.488,-19.043,-323.120,-134.216
0.690,-1.026,0.884,-36.133,-338.379,-123.047
0.571,-1.068,1.262,-70.129,-350.830,-117.493
0.519,-0.987,1.615,-114.624,-360.840,-112.061
0.320,-0.917,2.063,-138.306,-352.661,-100.586
0.003,-0.876,2.703,-130.066,-312.988,-74.768
-0.296,-0.871,3.247,-92.468,-220.642,-37.903
-0.436,-0.904,3.392,-40.100,-84.961,-0.122
-0.329,-0.875,3.042,9.583,52.185,35.583
-0.084,-0.821,2.465,36.743,153.687,66.589
0.045,-0.727,1.956,45.349,213.440,91.187
0.140,-0.582,1.537,49.988,250.977,106.567
0.218,-0.441,1.163,47.363,277.039,119.446
0.265,-0.325,0.837,37.231,286.316,126.099
0.283,-0.230,0.552,26.855,281.006,125.122
0.274,-0.122,0.323,23.499,271.667,122.742
0.231,0.017,0.130,32.410,274.292,123.535
0.179,0.185,-0.078,53.894,291.199,130.188
0.143,0.372,-0.302,81.116,312.866,139.343
0.110,0.535,-0.528,109.924,328.857,145.874
0.087,0.680,-0.809,134.338,336.060,150.269
0.158,0.834,-1.215,138.000,330.139,149.170
0.437,1.019,-1.795,109.436,297.058,129.211
0.853,1.271,-2.435,46.997,223.450,85.388
1.219,1.414,-2.795,-24.231,104.553,14.099
1.340,1.364,-2.707,-77.087,-36.438,-58.472
1.194,1.151,-2.261,-99.060,-153.687,-109.314
1.067,0.879,-1.765,-88.440,-210.205,-143.433
1.025,0.601,-1.339,-61.523,-223.694,-163.391
1.018,0.304,-0.967,-35.034,-225.769,-175.537
1.012,-0.021,-0.607,-15.869,-233.154,-178.894
1.025,-0.354,-0.259,-5.737,-243.591,-171.509
1.015,-0.653,0.068,-1.465,-251.465,-156.860
0.965,-0.905,0.411,-3.418,-258.179,-140.381
0.921,-1.062,0.733,-14.038,-263.977,-123.230
0.831,-1.083,1.067,-37.292,-273.376,-104.797
0.843,-1.066,1.407,-68.237,-282.471,-94.849
0.591,-0.999,1.825,-95.642,-292.908,-79.407
0.402,-1.002,2.293,-98.877,-263.611,-63.049
0.208,-1.052,2.711,-74.219,-187.195,-38.757
0.073,-1.099,2.884,-30.273,-76.050,-0.671
0.056,-1.056,2.706,15.991,41.504,38.696
0.132,-0.955,2.294,44.128,132.568,72.754
0.205,-0.812,1.860,51.941,189.209,96.619
0.266,-0.638,1.469,53.772,223.694,112.976
