aX,aY,aZ,gX,gY,gZ
0.053,-0.083,0.967,-0.305,-1.221,-0.366
0.053,-0.083,0.965,-0.061,-1.343,-0.244
0.052,-0.083,0.965,-0.305,-1.465,-0.183
0.051,-0.083,0.966,-0.366,-1.465,-0.183
0.051,-0.083,0.967,-0.305,-1.343,-0.244
0.051,-0.083,0.967,-0.427,-1.221,-0.244
1.735,-2.151,2.461,211.365,-128.418,-0.549
1.014,-2.241,0.002,423.035,-70.496,-30.579
-0.030,-0.843,-0.639,285.217,-83.984,13.672
-0.561,1.227,0.273,-310.852,-138.062,139.038
-0.929,1.750,0.761,-231.750,-225.220,169.312
-0.096,-1.021,0.554,-168.579,-228.516,138.733
0.205,-0.411,0.676,-119.873,-188.110,95.703
0.006,-0.277,0.607,-97.473,-137.634,69.580
0.025,-0.344,0.723,-66.223,-89.783,34.302
0.077,-0.352,0.833,-41.321,-30.823,15.442
-0.309,-0.809,0.989,-21.484,4.578,4.150
0.120,-0.538,1.021,-8.362,10.315,33.386
0.223,-0.695,1.210,-4.944,18.311,51.025
0.166,-0.636,1.100,-14.465,30.884,59.875
0.280,-0.554,1.115,-28.564,34.546,67.810
0.313,-0.425,1.067,-41.016,27.771,79.712
0.232,-0.433,1.029,-49.744,21.179,86.670
0.205,-0.345,0.735,-43.884,19.470,90.332
0.221,-0.485,0.809,-12.390,9.399,81.909
0.291,-0.573,0.891,23.804,9.521,73.364
0.359,-0.567,0.828,45.227,22.278,76.294
0.394,-0.542,0.833,52.124,24.658,80.627
0.368,-0.505,0.942,55.786,27.649,90.332
0.435,-0.566,0.878,68.787,38.513,100.098
0.443,-0.648,0.735,77.698,52.795,106.201
0.436,-0.675,0.662,72.388,58.594,111.572
0.472,-0.692,0.626,67.627,47.546,120.056
0.490,-0.672,0.667,56.641,11.780,130.310
0.488,-0.638,0.740,35.400,-39.246,143.127
0.277,-0.664,0.592,-3.662,-98.145,151.733
0.267,-0.410,0.629,-24.414,-90.942,132.996
0.321,-0.444,0.660,5.493,-36.133,121.399
0.318,-0.467,0.642,31.372,-27.893,119.934
0.311,-0.478,0.687,32.043,-44.495,118.774
0.292,-0.460,0.730,24.109,-61.401,120.667
0.107,-0.484,0.877,15.930,-74.890,125.305
0.246,-0.368,0.802,-5.310,-86.548,120.544
0.250,-0.377,0.798,-4.456,-77.393,120.789
0.156,-0.289,0.819,11.353,-65.125,129.028
0.138,-0.233,0.774,23.804,-54.260,132.019
0.148,-0.241,0.733,36.194,-45.593,131.653
0.193,-0.282,0.713,45.898,-45.898,132.568
0.212,-0.313,0.712,44.434,-57.129,137.268
0.185,-0.290,0.712,32.593,-74.097,147.461
0.109,-0.244,0.727,20.630,-86.853,158.264
0.020,-0.178,0.702,18.677,-92.651,163.635
-0.046,-0.143,0.668,29.419,-91.064,160.217
-0.076,-0.098,0.685,46.875,-82.520,148.987
-0.094,-0.059,0.750,55.847,-74.097,133.972
-0.101,-0.067,0.762,55.908,-68.359,119.080
-0.093,-0.090,0.751,54.565,-67.688,106.079
-0.094,-0.093,0.794,51.453,-72.998,94.055
-0.103,-0.112,0.876,46.753,-80.933,85.449
-0.099,-0.199,0.950,41.626,-85.938,79.712
-0.108,-0.090,0.997,38.879,-89.111,76.782
-0.087,-0.013,1.037,31.555,-92.407,70.557
-0.064,-0.116,1.039,19.348,-90.210,59.509
-0.062,-0.143,1.048,9.827,-86.182,54.077
-0.061,-0.187,1.038,7.202,-83.923,54.382
-0.073,-0.169,1.036,3.784,-85.327,53.223
-0.106,-0.134,1.073,-0.244,-88.928,50.537
-0.124,-0.105,1.090,-1.404,-86.792,49.622
-0.161,-0.104,1.107,0.793,-79.224,47.363
-0.164,-0.089,1.109,2.441,-71.594,41.016
-0.173,-0.111,1.115,1.770,-65.063,30.945
-0.183,-0.124,1.088,0.916,-56.946,19.592
-0.176,-0.124,1.069,0.122,-51.697,7.874
-0.151,-0.165,1.074,1.221,-49.377,0.549
-0.128,-0.162,1.088,3.479,-46.814,-1.831
-0.110,-0.183,1.103,5.920,-43.396,-0.793
-0.110,-0.171,1.123,5.005,-39.551,-0.488
-0.097,-0.189,1.115,3.723,-33.020,-0.549
-0.120,-0.175,1.096,0.977,-26.794,1.465
-0.123,-0.166,1.043,-1.709,-21.729,2.991
-0.128,-0.152,1.010,-3.845,-18.555,1.038
-0.124,-0.158,0.983,-5.493,-17.883,-0.671
-0.109,-0.177,0.973,-6.653,-18.738,-1.221
-0.100,-0.206,0.966,-8.179,-19.775,-1.831
-0.084,-0.219,0.958,-9.094,-20.752,-2.747
-0.073,-0.249,0.969,-8.240,-22.217,-1.892
-0.062,-0.255,0.972,-7.324,-22.400,0.122
-0.056,-0.238,0.979,-5.615,-20.691,1.770
-0.058,-0.236,0.977,-4.333,-17.334,4.761
-0.072,-0.232,0.974,-4.395,-13.000,6.958
-0.058,-0.226,0.956,-3.784,-9.277,8.484
-0.075,-0.240,0.949,-3.601,-6.836,9.216
-0.095,-0.202,0.929,-4.211,-6.409,7.996
-0.090,-0.194,0.919,-3.235,-5.127,3.845
-0.086,-0.209,0.920,-2.502,-5.981,1.587
-0.070,-0.224,0.923,-2.869,-8.423,0.549
-0.065,-0.236,0.938,-3.967,-11.169,1.526
-0.062,-0.224,0.960,-4.944,-12.634,2.686
-0.056,-0.228,0.977,-4.883,-11.230,4.211
-0.049,-0.235,0.980,-4.944,-8.179,6.165
-0.056,-0.214,0.966,-4.944,-4.761,7.507
-0.061,-0.199,0.956,-4.456,-1.770,8.423
-0.076,-0.192,0.947,-4.333,0.488,8.606
-0.077,-0.186,0.941,-4.028,1.038,6.958
-0.076,-0.193,0.946,-4.211,0.122,5.554
-0.073,-0.207,0.955,-4.578,-1.099,4.395
-0.064,-0.207,0.961,-4.272,-2.197,3.235
-0.049,-0.215,0.970,-3.906,-2.747,3.235
-0.038,-0.230,0.979,-3.845,-2.869,3.601
-0.014,-0.239,0.991,-5.310,-4.517,5.737
-0.005,-0.243,1.008,-7.874,-4.883,8.728
0.001,-0.249,1.008,-10.437,-3.113,12.329
0.000,-0.236,1.015,-12.329,-1.831,15.381
0.000,-0.229,1.021,-14.587,-0.854,18.494
0.004,-0.228,1.025,-18.860,-0.061,20.630
0.004,-0.228,1.026,-23.560,0.793,22.217
0.003,-0.216,1.016,-25.574,1.526,23.865
-0.001,-0.198,1.007,-25.391,2.319,25.269
-0.018,-0.177,0.996,-24.353,3.113,26.672
-0.035,-0.146,0.974,-22.034,4.211,25.391
-0.045,-0.138,0.949,-17.639,4.150,23.071
-0.052,-0.124,0.934,-13.062,1.770,21.240
-0.049,-0.098,0.947,-7.324,-2.197,18.982
-0.051,-0.075,0.967,-1.953,-5.188,17.944
-0.054,-0.055,0.982,0.671,-5.981,17.883
-0.120,1.357,1.335,2.869,5.615,23.132
-0.176,1.567,1.378,2.441,19.836,30.884
-0.300,1.769,1.415,1.404,37.354,40.100
-0.475,2.008,1.391,4.639,59.021,45.959
-0.642,2.215,1.343,9.644,82.581,46.692
-0.818,2.315,1.286,6.226,101.990,45.959
-1.047,2.277,1.176,-14.709,111.023,38.940
-1.247,2.167,0.883,-52.063,105.469,16.052
-1.413,1.948,0.523,-95.581,75.745,-23.621
-1.486,1.537,0.256,-128.235,20.508,-77.820
-1.336,0.846,0.063,-132.324,-42.847,-141.479
-1.131,-0.061,0.001,-120.239,-110.901,-187.500
-0.854,-1.223,0.187,-94.421,-180.847,-197.388
-0.443,-2.571,0.618,-42.969,-233.765,-163.269
-0.155,-3.496,0.981,23.315,-243.347,-92.102
0.052,-3.588,1.071,74.646,-207.581,-32.715
0.472,-3.566,1.063,99.609,-173.889,-48.767
1.072,-4.000,1.428,114.624,-200.806,-134.216
1.853,-4.000,1.818,101.929,-278.809,-202.454
2.287,-4.000,2.598,46.082,-348.877,-186.340
2.403,-4.000,3.340,21.606,-330.261,-108.093
2.235,-4.000,3.468,26.123,-189.819,-22.156
1.624,-4.000,2.699,19.531,25.208,68.787
